"Freq [GHz]","dB(St(1,1)) []"
4.46,-1.70680995916912
4.48,-1.68233347473394
4.5,-1.66267230319024
4.52,-1.64766087367639
4.54,-1.63717206660785
4.56,-1.63111582092846
4.58,-1.62943820303247
4.6,-1.63212093301706
4.62,-1.63918136724013
4.64,-1.65067293648896
4.66,-1.66668603470181
4.68,-1.68734933894499
4.7,-1.71283151681059
4.72,-1.74334325514338
4.74,-1.77913961439659
4.76,-1.82052314962371
4.78,-1.8678494548051
4.8,-1.92153802479105
4.82,-1.98208813424972
4.84,-2.05009011794915
4.86,-2.1262242192706
4.88,-2.2112586696341
4.9,-2.30606067395134
4.92,-2.41161674499672
4.94,-2.52905452646171
4.96,-2.65966437883125
4.98,-2.80492227669441
5,-2.96651555790527
5.02,-3.14637250369688
5.04,-3.34669648242975
5.06,-3.57000542930865
5.08,-3.81917766131484
5.1,-4.09750543541614
5.12,-4.40875832256531
5.14,-4.75725953982306
5.16,-5.14798010671912
5.18,-5.58665846831607
5.2,-6.07995770923585
5.22,-6.63567976114793
5.24,-7.26306798449559
5.26,-7.97324965800749
5.28,-8.77990493071326
5.3,-9.70031231940274
5.32,-10.7570423931012
5.34,-11.9808191879893
5.36,-13.4156139196103
5.38,-15.1283460336536
5.4,-17.2290788131325
5.42,-19.9183257757134
5.44,-23.6154056029173
5.46,-29.3077944849918
5.48,-34.5682737905574
5.5,-28.1907110052094
5.52,-23.6808271906012
5.54,-20.8318226781355
5.56,-18.8430565242411
5.58,-17.3702884766727
5.6,-16.2416055375619
5.62,-15.3591261779037
5.64,-14.6612378896418
5.66,-14.1057816607777
5.68,-13.6615018962952
5.7,-13.3030399124386
5.72,-13.0076366071472
5.74,-12.7532215246445
5.76,-12.5195760238462
5.78,-12.3009227205385
5.8,-12.1641872148855
5.82,-12.4650479718524
5.84,-14.2582542840033
5.86,-18.6413924524825
5.88,-25.1944174933042
5.9,-32.065208779435
5.92,-32.2151391382273
5.94,-29.3407978437126
5.96,-26.9856281436182
5.98,-24.9813057272257
6,-23.1802464846783
6.02,-21.5491391917121
6.04,-20.0824740443294
6.06,-18.7737816695924
6.08,-17.612174812952
6.1,-16.5844916719852
6.12,-15.67732368089
6.14,-14.8781088522797
6.16,-14.1755522161202
6.18,-13.5596866103665
6.2,-13.0217713781334
6.22,-12.5541323750573
6.24,-12.1499916752619
6.26,-11.8033069761339
6.28,-11.5086272084811
6.3,-11.260965075863
6.32,-11.0556853010201
6.34,-10.8884072741071
6.36,-10.7549215885988
6.38,-10.6511211125974
6.4,-10.5729484721097
6.42,-10.5163628771992
6.44,-10.477329837804
6.46,-10.4518371923297
6.48,-10.4359397089642
6.5,-10.4258321107579
6.52,-10.4179467606727
6.54,-10.4090678489614
6.56,-10.3964496319222
6.58,-10.3779232897214
6.6,-10.3519764979109
6.62,-10.3177925375015
6.64,-10.2752414822301
6.66,-10.2248234782953
6.68,-10.167571519372
6.7,-10.1049266026998
6.72,-10.0386006088778
6.74,-9.97044156213444
6.76,-9.90231285455755
6.78,-9.83599375576443
6.8,-9.77310424293362
6.82,-9.71505368961611
6.84,-9.66301061701604
6.86,-9.61788953882892
6.88,-9.58035069762781
6.9,-9.55080889223488
6.92,-9.52944833982139
6.94,-9.51624137973972
6.96,-9.51096965222532
6.98,-9.51324708719916
7,-9.52254456878043
7.02,-9.53821648275131
7.04,-9.55952950282047
7.06,-9.58569393512075
7.08,-9.61589773646131
7.1,-9.64934298287963
7.12,-9.68528413309361
7.14,-9.72306694499273
7.16,-9.76216636334709
7.18,-9.80222106707736
7.2,-9.84306171368033
7.22,-9.88472973909978
7.24,-9.92748469150946
7.26,-9.9718004559495
7.28,-10.0183525223729
7.3,-10.0679980755942
7.32,-10.1217493105632
7.34,-10.1807400793016
7.36,-10.2461868004615
7.38,-10.3193452459213
7.4,-10.4014647197213
7.42,-10.493740458373
7.44,-10.5972641870619
7.46,-10.712971897259
7.48,-10.8415871758584
7.5,-10.9835578837459
7.52,-11.1389837411922
7.54,-11.3075325753766
7.56,-11.4883438610184
7.58,-11.6799200951414
7.6,-11.880009973776
7.62,-12.0854928105587
7.64,-12.2922815148891
7.66,-12.4952714313162
7.68,-12.6883727001482
7.7,-12.8646704460337
7.72,-13.0167532621338
7.74,-13.1372282159139
7.76,-13.2193956514342
7.78,-13.2579959368997
7.8,-13.2498850323641
7.82,-13.1944779561371
7.84,-13.093841035331
7.86,-12.9524072655709
7.88,-12.776394360193
7.9,-12.5730745325136
7.92,-12.3500541650074
7.94,-12.1146800142504
7.96,-11.8736265282082
7.98,-11.6326644061262
8,-11.3965774566523
8.02,-11.1691830135179
8.04,-10.9534136658782
8.06,-10.7514273144145
8.08,-10.5647237601507
8.1,-10.3942583305862
8.12,-10.2405604407849
8.14,-10.1038925508909
8.16,-9.98449059947398
8.18,-9.88275694526705
8.2,-9.79897556433927
8.22,-9.73269711444291
8.24,-9.68283937410541
8.26,-9.64830919268594
8.28,-9.62824500538162
8.3,-9.62193698346481
8.32,-9.62873432929325
8.34,-9.64801331188708
8.36,-9.67918373040084
8.38,-9.72171246470839
8.4,-9.77515452072539
8.42,-9.83918780226923
8.44,-9.91364961715412
8.46,-9.9985730398634
8.48,-10.0942208353035
8.5,-10.2011141492767
8.52,-10.3200527535499
8.54,-10.4521233101297
8.56,-10.5986917889108
8.58,-10.7613756150351
8.6,-10.9419899968639
8.62,-11.1424607337542
8.64,-11.364692061984
8.66,-11.610372149682
8.68,-11.8806901757776
8.7,-12.17592755271
8.72,-12.4948735372372
8.74,-12.8340084510126
8.76,-13.1864121693246
8.78,-13.5404259302012
8.8,-13.8782800094379
8.82,-14.1752570626087
8.84,-14.4004426946181
8.86,-14.520345941002
8.88,-14.505864954359
8.9,-14.3407659979198
8.92,-14.0274597053045
8.94,-13.5864108037342
8.96,-13.0495685563224
8.98,-12.4518614465774
9,-11.8247072105209
9.02,-11.1929189086718
9.04,-10.5742940737096
9.06,-9.98059368762486
9.08,-9.41893490893713
9.1,-8.89309658407814
9.12,-8.40456400245299
9.14,-7.9533010353638
9.16,-7.53829651359647
9.18,-7.15794181174279
9.2,-6.81028868468516
9.22,-6.49322419414347
9.24,-6.20458831544908
9.26,-5.94225126207714
9.28,-5.70416200022534
9.3,-5.48837626481695
9.32,-5.29307056461195
9.34,-5.11654725506794
9.36,-4.95723439667477
9.38,-4.81368288374811
9.4,-4.68456239220512
9.42,-4.56865709871106
9.44,-4.46486179303864
9.46,-4.37217883151432
9.48,-4.28971627681014
9.5,-4.2166874891838
9.52,-4.15241235533502
9.54,-4.09632025720955
9.56,-4.04795479648891
9.58,-4.0069802074815
9.6,-3.97318932084246
9.62,-3.94651289439404
9.64,-3.92703011666452
9.66,-3.91498012294401
9.68,-3.91077444613812
9.7,-3.9150104496808
9.72,-3.92848593730022
9.74,-3.95221526738643
9.76,-3.98744735715943
9.78,-4.03568585295561
9.8,-4.09871133338443
9.82,-4.17860450350157
9.84,-4.27776763330367
9.86,-4.39893854528804
9.88,-4.54518659845852
9.9,-4.71987239922537
9.92,-4.92654115385462
9.94,-5.1687023504475
9.96,-5.44942528171496
9.98,-5.77065335687882
10,-6.13212137132671
10.02,-6.52977969954434
10.04,-6.95375480858878
10.06,-7.38621727282341
10.08,-7.80017844754101
10.1,-8.16101390691151
10.12,-8.43253177234171
10.14,-8.58725517636887
10.16,-8.61646636495033
10.18,-8.53353926039365
10.2,-8.36816758022798
10.22,-8.15579198842181
10.24,-7.92855353126151
10.26,-7.71081287929367
10.28,-7.51860017262964
10.3,-7.36107544210971
10.32,-7.24249210680901
10.34,-7.16392243155964
10.36,-7.12452708098109
10.38,-7.1223921990598
10.4,-7.15503287679773
10.42,-7.21966674701475
10.44,-7.31334267954893
10.46,-7.43298442304393
10.48,-7.57538584557268
10.5,-7.73717892593758
10.52,-7.91478855867477
10.54,-8.10438610625549
10.56,-8.30185313346313
10.58,-8.50276650992936
10.6,-8.7024156858592
10.62,-8.89586195423301
10.64,-9.07804707287673
10.66,-9.2439538178916
10.68,-9.38881339561162
10.7,-9.50834468029962
10.72,-9.59899990264982
10.74,-9.65818387586249
10.76,-9.68441255787341
10.78,-9.67738377473263
10.8,-9.63794749032688
10.82,-9.56798124662377
10.84,-9.47019284086087
10.86,-9.34788227427464
10.88,-9.20469656310201
10.9,-9.04440532971932
10.92,-8.87071536451984
10.94,-8.6871320395703
10.96,-8.49686705070424
10.98,-8.30278654421139
11,-8.10739116503903
11.02,-7.91281923198048
11.04,-7.72086523369967
11.06,-7.53300741118203
11.08,-7.35043984581565
11.1,-7.17410593116526
11.12,-7.00473125808085
11.14,-6.84285477678296
11.16,-6.68885765525032
11.18,-6.54298958875066
11.2,-6.40539248786816
11.22,-6.27612153173123
11.24,-6.15516355866911
11.26,-6.04245270845422
11.28,-5.93788315145116
11.3,-5.84131865750815
11.32,-5.75259868424764
11.34,-5.67154061081274
11.36,-5.59793771692806
11.38,-5.53155251846582
11.4,-5.47210513465781
11.42,-5.41925651020971
11.44,-5.37258660855584
11.46,-5.33156824025049
11.48,-5.29553817036438
11.5,-5.26366881258839
11.52,-5.23494645223026
11.54,-5.20816572758616
11.56,-5.18195478734864
11.58,-5.15484986302962
11.6,-5.12543893087923
11.62,-5.09258660736514
11.64,-5.0557307004858
11.66,-5.0152032612691
11.68,-4.97248542892071
11.7,-4.93028147347842
11.72,-4.89232467199335
11.74,-4.86291600492413
11.76,-4.84631049687052
11.78,-4.84613711985565
11.8,-4.86501854690552
11.82,-4.90446179181974
11.84,-4.96498326316457
11.86,-5.04636890778401
11.88,-5.14796585160118
11.9,-5.26893448403551
11.92,-5.40842990653254
11.94,-5.56571117184175
11.96,-5.7401916564809
11.98,-5.93144776127626
12,-6.13920109624437
12.02,-6.36328527727202
12.04,-6.60360455186951
12.06,-6.86008846951457
12.08,-7.1326447836866
12.1,-7.42111147748455
12.12,-7.72520793718526
12.14,-8.04448461988571
12.16,-8.37826997672485
12.18,-8.72561297800782
12.2,-9.08521956530416
12.22,-9.45538203063957
12.24,-9.83390199626776
12.26,-10.2180105798427
12.28,-10.6042936065679
12.3,-10.9886352817162
12.32,-11.3662000179985
12.34,-11.7314777453784
12.36,-12.0784204437063
12.38,-12.4006931099796
12.4,-12.6920470822841
12.42,-12.9467961273818
12.44,-13.1603401210613
12.46,-13.3296490824015
12.48,-13.453607858641
12.5,-13.533140985151
12.52,-13.5710866164937
12.54,-13.5718502668796
12.56,-13.5409184975075
12.58,-13.4843319732515
12.6,-13.408204933179
12.62,-13.318346160582
12.64,-13.2200010807263
12.66,-13.1177072192075
12.68,-13.0152400709906
12.7,-12.9156219809671
12.72,-12.8211690796118
12.74,-12.7335569042786
12.76,-12.6538914797504
12.78,-12.5827779715289
12.8,-12.5203830857611
12.82,-12.4664901877872
12.84,-12.4205478743122
12.86,-12.3817137357364
12.88,-12.3488955228288
12.9,-12.320792058066
12.92,-12.2959361049439
12.94,-12.2727410645628
12.96,-12.2495528027496
12.98,-12.2247071063911
13,-12.1965922336735
13.02,-12.1637148218819
13.04,-12.1247661862097
13.06,-12.0786849876422
13.08,-12.0247116053075
13.1,-11.9624295296398
13.12,-11.8917898099291
13.14,-11.8131160046877
13.16,-11.7270889896475
13.18,-11.6347130459048
13.2,-11.5372665065592
13.22,-11.4362415691908
13.24,-11.3332785026919
13.26,-11.2300993721935
13.28,-11.1284457011766
13.3,-11.0300233971672
13.32,-10.936457018482
13.34,-10.8492542574165
13.36,-10.7697804974209
13.38,-10.6992425412725
13.4,-10.6386801174433
13.42,-10.588963527694
13.44,-10.5507957539152
13.46,-10.5247174439533
13.48,-10.5111133957316
13.5,-10.5102194164404
13.52,-10.5221287194601
13.54,-10.5467973152256
13.56,-10.5840481403304
13.58,-10.6335739420393
13.6,-10.6949391850092
13.62,-10.7675814635208
13.64,-10.8508130743188
13.66,-10.9438235164082
13.68,-11.0456837193619
13.7,-11.1553527454104
13.72,-11.2716875554966
13.74,-11.3934561792177
13.76,-11.5193543048125
13.78,-11.6480249488818
13.8,-11.7780805353844
13.82,-11.9081264784426
13.84,-12.0367852897285
13.86,-12.1627203616145
13.88,-12.2846589137461
13.9,-12.4014140681735
13.92,-12.511906487288
13.94,-12.6151862125365
13.96,-12.7104549217564
13.98,-12.7970873901083
14,-12.8746483294358
14.02,-12.9428975783893
14.04,-13.0017747905023
14.06,-13.0513575989272
14.08,-13.0917971727274
14.1,-13.1232495589027
14.12,-13.1458306074037
14.14,-13.1596160239146
14.16,-13.1646864699347
14.18,-13.1611950792979
14.2,-13.1494270393437
14.22,-13.1298303441759
14.24,-13.1030131173532
14.26,-13.0697150150566
14.28,-13.0307644080352
14.3,-12.987031556044
14.32,-12.9393844755159
14.34,-12.8886509910146
14.36,-12.8355883165024
14.38,-12.7808603381702
14.4,-12.7250222294428
14.42,-12.6685118280376
14.44,-12.611647159189
14.46,-12.5546294977357
14.48,-12.4975513734995
14.5,-12.4404089136089
14.52,-12.3831178706154
14.54,-12.3255326056749
14.56,-12.2674671914422
14.58,-12.2087176902486
14.6,-12.149084577747
14.62,-12.0883942525975
14.64,-12.0265186256478
14.66,-11.9633919324278
14.68,-11.8990241558657
14.7,-11.8335107566457
14.72,-11.767038743074
14.74,-11.6998894195009
14.76,-11.632438383719
14.78,-11.5651534651083
14.8,-11.4985912930372
14.82,-11.4333930657545
14.84,-11.3702798767108
14.86,-11.3100476794703
14.88,-11.2535616705202
14.9,-11.201749582681
14.92,-11.155593164271
14.94,-11.1161170477987
14.96,-11.0843743929235
14.98,-11.0614292443876
15,-11.0483365640948
