"Freq [GHz]","dB(St(1,1)) []"
10.58,-13.6860737032753
10.6,-11.5179044055071
10.62,-9.76408085719654
10.64,-8.38958761711731
10.66,-7.3102478108869
10.68,-6.45521452094711
10.7,-5.77161166933788
10.72,-5.22069391669208
10.74,-4.77393465970715
10.76,-4.41011715894325
10.78,-4.11329354684995
10.8,-3.87136068365246
10.82,-3.67505766644333
10.84,-3.51725128810714
10.86,-3.39242002094938
10.88,-3.29627642194633
10.9,-3.22548699110889
10.92,-3.17746106742765
10.94,-3.15018866397137
10.96,-3.14211270335045
10.98,-3.15202485132456
11,-3.17897666541359
11.02,-3.22219948374726
11.04,-3.28102767186819
11.06,-3.3548207599222
11.08,-3.4428808635848
11.1,-3.54436282948113
11.12,-3.65817605726577
11.14,-3.78287923810321
11.16,-3.91657262241287
11.18,-4.05679708412688
11.2,-4.20045505648289
11.22,-4.34377459933549
11.24,-4.48234262687165
11.26,-4.61123368607501
11.28,-4.72525288662951
11.3,-4.81929271115226
11.32,-4.88877407194566
11.34,-4.930108887313
11.36,-4.94109755225383
11.38,-4.92117409606145
11.4,-4.87144108025509
11.42,-4.7944876666207
11.44,-4.69403787967892
11.46,-4.57451081515646
11.48,-4.44057999736683
11.5,-4.29679942673502
11.52,-4.14733233742589
11.54,-3.99578876037648
11.56,-3.84515750976963
11.58,-3.69780868858139
11.6,-3.55554177746523
11.62,-3.41965818646408
11.64,-3.29104273303754
11.66,-3.17024393763253
11.68,-3.05754740594344
11.7,-2.95303967066966
11.72,-2.85666178455057
11.74,-2.7682528434522
11.76,-2.68758361935447
11.78,-2.61438020357323
11.8,-2.54833933672194
11.82,-2.48914344426107
11.84,-2.43648548844293
11.86,-2.3900962678248
11.88,-2.34975465408095
11.9,-2.31528268429326
11.92,-2.28654184277506
11.94,-2.26343594005703
11.96,-2.24591736777661
11.98,-2.23399412544375
12,-2.22773725668225
12.02,-2.22728936144524
12.04,-2.23287513989986
12.06,-2.24481504836681
12.08,-2.26354330877658
12.1,-2.28963172341932
12.12,-2.32382091951022
12.14,-2.36706055225592
12.16,-2.4205590900036
12.18,-2.485840886512
12.2,-2.56480078265206
12.22,-2.65972957949701
12.24,-2.77324925412525
12.26,-2.90803566049739
12.28,-3.0661240844708
12.3,-3.24755913888302
12.32,-3.44838887105539
12.34,-3.65886564125749
12.36,-3.86403837567005
12.38,-4.04878682223279
12.4,-4.20544284560425
12.42,-4.33779058335614
12.44,-4.45792031829919
12.46,-4.5796217969341
12.48,-4.71370932878078
12.5,-4.86677682661346
12.52,-5.04196500720829
12.54,-5.24019973056954
12.56,-5.46120027599854
12.58,-5.70413779925433
12.6,-5.96803041734043
12.62,-6.251982548018
12.64,-6.55534505703782
12.66,-6.87784040822983
12.68,-7.2196750189038
12.7,-7.58164869241902
12.72,-7.96526550058469
12.74,-8.37284954988415
12.76,-8.80767128292843
12.78,-9.27409465207009
12.8,-9.77776263356296
12.82,-10.3258489650211
12.84,-10.9274199189107
12.86,-11.5939761681112
12.88,-12.340291303605
12.9,-13.1857515117049
12.92,-14.1565781262372
12.94,-15.2896979628814
12.96,-16.6399294744947
12.98,-18.2945296444763
13,-20.4063958519173
13.02,-23.2844645927188
13.04,-27.7218188547153
13.06,-37.0606974363796
13.08,-35.2586952464439
13.1,-26.8812790377657
13.12,-22.6101069802571
13.14,-19.7507463252737
13.16,-17.6096849345337
